Country,Amount,Date
"Russia","6.6 million square miles",2013
"Canada","3.8 million square miles",2013
"United States","3.8 million square miles",2013
"China","3.7 million square miles",2013
"Brazil","3.3 million square miles",2013
"Australia","2.9 million square miles",2013
"India","1.24 million square miles",2013
"Argentina","1.1 million square miles",2013
"Kazakhstan","1,000,000 square miles",2013
"Algeria","919,595 square miles",2013
"Democratic Republic of the Congo","905,354 square miles",2013
"Saudi Arabia","864,869 square miles",2013
"Mexico","758,449 square miles",2013
"Indonesia","742,308 square miles",2013
"Sudan","728,215 square miles",2013
"Libya","685,524 square miles",2013
"Iran","636,313 square miles",2013
"Mongolia","603,909 square miles",2013
"Peru","496,225 square miles",2013
"Chad","495,800 square miles",2013
"Niger","489,000 square miles",2013
"Mali","482,077 square miles",2013
"Angola","481,354 square miles",2013
"South Africa","470,693 square miles",2013
"Colombia","440,831 square miles",2013
"Ethiopia","437,794 square miles",2013
"Bolivia","424,164 square miles",2013
"Mauritania","398,000 square miles",2013
"Egypt","386,874 square miles",2013
"Tanzania","364,900 square miles",2013
"Nigeria","356,669 square miles",2013
"Venezuela","340,561 square miles",2013
"Pakistan","339,697 square miles",2013
"Namibia","318,261 square miles",2013
"Mozambique","313,661 square miles",2013
"Turkey","300,948 square miles",2013
"Chile","291,930 square miles",2013
"Zambia","290,586 square miles",2013
"Morocco","274,461 square miles",2013
"Burma","261,218 square miles",2013
"Afghanistan","251,773 square miles",2013
"Somalia","246,201 square miles",2013
"South Sudan","239,285 square miles",2011
"Ukraine","233,090 square miles",2013
"Madagascar","226,658 square miles",2013
"Kenya","224,961 square miles",2013
"Botswana","224,607 square miles",2013
"France","210,026 square miles",2013
"Yemen","207,286 square miles",2013
"Thailand","198,115 square miles",2013
"Spain","195,363 square miles",2013
"Turkmenistan","188,456 square miles",2013
"Cameroon","183,568 square miles",2013
"Papua New Guinea","178,704 square miles",2013
"Sweden","173,732 square miles",2013
"Uzbekistan","172,700 square miles",2013
"Iraq","169,235 square miles",2013
"Paraguay","157,048 square miles",2013
"Zimbabwe","150,873 square miles",2013
"Romania","148,129 square miles",2013
"Japan","145,894 square miles",2013
"Germany","137,849 square miles",2013
"Finland","130,559 square miles",2013
"Malaysia","127,355 square miles",2013
"Vietnam","127,123 square miles",2013
"Norway","125,004 square miles",2013
"Cote d'Ivoire","124,503 square miles",2013
"Poland","120,728 square miles",2013
"Oman","119,500 square miles",2013
"Italy","116,346 square miles",2012
"Philippines","115,831 square miles",2013
"Burkina Faso","105,870 square miles",2013
"Ecuador","105,037 square miles",2013
"New Zealand","104,454 square miles",2013
"Gabon","103,347 square miles",2013
"Guinea","94,926 square miles",2013
"United Kingdom","93,638 square miles",2013
"Uganda","93,072 square miles",2013
"Ghana","92,098 square miles",2013
"Laos","91,400 square miles",2013
"Guyana","83,000 square miles",2013
"Belarus","80,153 square miles",2013
"Kyrgyzstan","77,182 square miles",2013
"Senegal","75,955 square miles",2013
"Syria","71,498 square miles",2013
"Cambodia","69,898 square miles",2013
"Uruguay","68,037 square miles",2013
"Tunisia","63,378 square miles",2013
"Suriname","63,037 square miles",2013
"Bangladesh","55,598 square miles",2013
"Tajikistan","55,251 square miles",2013
"Greece","50,949 square miles",2013
"North Korea","47,399 square miles",2013
"Nicaragua","46,430 square miles",2013
"Malawi","45,747 square miles",2013
"Eritrea","45,300 square miles",2012
"Benin","43,484 square miles",2013
"Honduras","43,433 square miles",2013
